EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, LAGO_SCAFFAIOLO_NIVO (STAID: 21781).
Blended and updated with sources: 218224 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
218224,20200501,-9999,    9
218224,20200502,-9999,    9
218224,20200503,-9999,    9
218224,20200504,-9999,    9
218224,20200505,-9999,    9
218224,20200506,-9999,    9
218224,20200507,-9999,    9
218224,20200508,-9999,    9
218224,20200509,-9999,    9
218224,20200510,-9999,    9
218224,20200511,-9999,    9
218224,20200512,-9999,    9
218224,20200513,-9999,    9
218224,20200514,-9999,    9
218224,20200515,-9999,    9
218224,20200516,-9999,    9
218224,20200517,-9999,    9
218224,20200518,-9999,    9
218224,20200519,-9999,    9
218224,20200520,-9999,    9
218224,20200521,-9999,    9
218224,20200522,-9999,    9
218224,20200523,-9999,    9
218224,20200524,-9999,    9
218224,20200525,-9999,    9
218224,20200526,-9999,    9
218224,20200527,-9999,    9
218224,20200528,-9999,    9
218224,20200529,-9999,    9
218224,20200530,-9999,    9
218224,20200531,   62,    0
218224,20200601,   83,    0
218224,20200602,   98,    0
218224,20200603,   90,    0
218224,20200604,   78,    0
218224,20200605,   76,    0
218224,20200606,   92,    0
218224,20200607,   82,    0
218224,20200608,   82,    0
218224,20200609,   72,    0
218224,20200610,   52,    0
218224,20200611,   58,    0
218224,20200612,   87,    0
218224,20200613,   89,    0
218224,20200614,   88,    0
218224,20200615,  104,    0
218224,20200616,   97,    0
218224,20200617,   88,    0
218224,20200618,   83,    0
218224,20200619,   87,    0
218224,20200620,  108,    0
218224,20200621,  120,    0
218224,20200622,  139,    0
218224,20200623,  146,    0
218224,20200624,  145,    0
218224,20200625,  144,    0
218224,20200626,  141,    0
218224,20200627,  144,    0
218224,20200628,  156,    0
218224,20200629,  142,    0
218224,20200630,  144,    0
218224,20200701,  154,    0
218224,20200702,  162,    0
218224,20200703,  141,    0
218224,20200704,  117,    0
218224,20200705,  142,    0
218224,20200706,  168,    0
218224,20200707,  103,    0
218224,20200708,  134,    0
218224,20200709,  155,    0
218224,20200710,  160,    0
218224,20200711,  152,    0
218224,20200712,  117,    0
218224,20200713,   97,    0
218224,20200714,  104,    0
218224,20200715,  106,    0
218224,20200716,  116,    0
218224,20200717,  120,    0
218224,20200718,  104,    0
218224,20200719,  122,    0
218224,20200720,  147,    0
218224,20200721,  162,    0
218224,20200722,  168,    0
218224,20200723,  154,    0
218224,20200724,  120,    0
218224,20200725,  134,    0
218224,20200726,  144,    0
218224,20200727,  160,    0
218224,20200728,  177,    0
218224,20200729,  196,    0
218224,20200730,  196,    0
218224,20200731,  192,    0
218224,20200801,  203,    0
218224,20200802,  176,    0
218224,20200803,  130,    0
218224,20200804,   84,    0
218224,20200805,   93,    0
218224,20200806,  114,    0
218224,20200807,  135,    0
218224,20200808,  155,    0
218224,20200809,  163,    0
218224,20200810,  175,    0
218224,20200811,  171,    0
218224,20200812,  169,    0
218224,20200813,  176,    0
218224,20200814,  163,    0
218224,20200815,  162,    0
218224,20200816,  159,    0
218224,20200817,  139,    0
218224,20200818,  126,    0
218224,20200819,  140,    0
218224,20200820,  159,    0
218224,20200821,  183,    0
218224,20200822,  180,    0
218224,20200823,  159,    0
218224,20200824,  124,    0
218224,20200825,  138,    0
218224,20200826,  154,    0
218224,20200827,  149,    0
218224,20200828,  142,    0
218224,20200829,  144,    0
218224,20200830,  107,    0
218224,20200831,   82,    0
218224,20200901,   88,    0
218224,20200902,   97,    0
218224,20200903,   98,    0
218224,20200904,  124,    0
218224,20200905,  154,    0
218224,20200906,  126,    0
218224,20200907,  118,    0
218224,20200908,  112,    0
218224,20200909,  151,    0
218224,20200910,  147,    0
218224,20200911,  132,    0
218224,20200912,  128,    0
218224,20200913,  137,    0
218224,20200914,  130,    0
218224,20200915,  125,    0
218224,20200916,  124,    0
218224,20200917,  133,    0
218224,20200918,  121,    0
218224,20200919,  131,    0
218224,20200920,  121,    0
218224,20200921,  109,    0
218224,20200922,   96,    0
218224,20200923,   87,    0
218224,20200924,   96,    0
218224,20200925,   62,    0
218224,20200926,   35,    0
218224,20200927,   17,    0
218224,20200928,   30,    0
218224,20200929,   62,    0
218224,20200930,   75,    0
218224,20201001,   71,    0
218224,20201002,   83,    0
218224,20201003,   56,    0
218224,20201004,   48,    0
218224,20201005,   39,    0
218224,20201006,   51,    0
218224,20201007,   72,    0
218224,20201008,   71,    0
218224,20201009,   82,    0
218224,20201010,   68,    0
218224,20201011,   31,    0
218224,20201012,   -6,    0
218224,20201013,    5,    0
218224,20201014,   20,    0
218224,20201015,   17,    0
218224,20201016,   14,    0
218224,20201017,   24,    0
218224,20201018,   27,    0
218224,20201019,   36,    0
218224,20201020,   41,    0
218224,20201021,   54,    0
218224,20201022,   61,    0
218224,20201023,   84,    0
218224,20201024,   60,    0
218224,20201025,   53,    0
218224,20201026,   53,    0
218224,20201027,   18,    0
218224,20201028,   47,    0
218224,20201029,   65,    0
218224,20201030,  104,    0
218224,20201031,-9999,    9
218224,20201101,-9999,    9
218224,20201102,-9999,    9
218224,20201103,-9999,    9
218224,20201104,-9999,    9
218224,20201105,-9999,    9
218224,20201106,-9999,    9
218224,20201107,-9999,    9
218224,20201108,-9999,    9
218224,20201109,-9999,    9
218224,20201110,-9999,    9
218224,20201111,-9999,    9
218224,20201112,-9999,    9
218224,20201113,-9999,    9
218224,20201114,-9999,    9
218224,20201115,-9999,    9
218224,20201116,-9999,    9
